friction_event_id,transaction_id,customer_id,event_datetime,friction_type,resolution
1,1,47986,2025-03-17 12:29:00,Payment Decline,Resolved
2,6,38650,2026-08-29 10:50:00,Payment Decline,Unresolved
3,19,41127,2026-12-22 14:17:00,Payment Decline,Resolved
4,22,1377,2025-11-01 11:44:00,Repeated Payment Attempt,Resolved
5,25,1036,2025-10-26 15:37:00,Payment Decline,Unresolved
6,29,19539,2025-06-23 17:32:00,Repeated Payment Attempt,Resolved After Retry
7,30,1152,2026-06-20 03:52:00,Payment Decline,Resolved
8,35,25622,2026-02-04 22:36:00,Payment Decline,Resolved
9,72,17880,2025-03-20 13:01:00,Payment Decline,Resolved After Retry
10,75,18604,2025-10-08 00:34:00,Verification Required,Resolved
11,88,30360,2025-01-20 02:15:00,Repeated Payment Attempt,Resolved After Retry
12,96,33485,2026-05-28 16:03:00,Verification Required,Resolved
13,120,9946,2025-02-03 07:07:00,Payment Decline,Resolved
14,147,32413,2025-04-26 11:39:00,Payment Decline,Resolved
15,151,41231,2025-09-21 09:29:00,Payment Decline,Resolved
16,155,38907,2026-01-21 17:13:00,Payment Decline,Resolved
17,195,40911,2025-02-27 10:24:00,Account Review,Resolved
18,207,32501,2026-10-28 10:30:00,Account Review,Resolved
19,209,9076,2025-10-26 10:31:00,Repeated Payment Attempt,Resolved
20,229,46622,2026-01-29 04:27:00,Repeated Payment Attempt,Resolved
21,230,26391,2025-09-21 11:05:00,Payment Decline,Resolved After Retry
22,263,22198,2025-08-29 05:08:00,Repeated Payment Attempt,Resolved
23,268,29707,2026-06-07 23:59:00,Account Review,Resolved
24,270,5171,2026-03-06 12:13:00,Account Review,Resolved
25,272,19353,2025-05-29 23:52:00,Payment Decline,Resolved
26,291,10917,2026-09-03 14:33:00,Payment Decline,Resolved After Retry
27,296,2042,2026-12-12 03:23:00,Payment Decline,Resolved After Retry
28,338,35898,2025-09-20 23:49:00,Verification Required,Resolved
29,353,48400,2026-01-08 21:14:00,Payment Decline,Resolved After Retry
30,359,13188,2026-12-17 08:13:00,Account Review,Unresolved
31,380,47053,2026-03-25 17:54:00,Payment Decline,Resolved
32,395,7506,2025-11-13 20:03:00,Repeated Payment Attempt,Resolved
33,405,32610,2026-11-04 11:34:00,Repeated Payment Attempt,Resolved
34,407,5879,2025-05-09 10:45:00,Payment Decline,Unresolved
35,409,22954,2026-04-08 01:21:00,Payment Decline,Resolved
36,454,23041,2026-06-26 03:17:00,Payment Decline,Resolved
37,456,19139,2026-04-19 22:30:00,Verification Required,Unresolved
38,487,17847,2025-07-03 10:18:00,Verification Required,Unresolved
39,494,20881,2026-01-04 17:44:00,Verification Required,Resolved After Retry
40,495,16869,2025-01-24 18:13:00,Payment Decline,Resolved
41,502,2906,2025-02-25 13:17:00,Payment Decline,Resolved
42,506,8697,2026-08-08 03:42:00,Payment Decline,Resolved
43,521,5985,2026-09-28 09:40:00,Payment Decline,Resolved
44,522,1338,2025-05-21 06:25:00,Repeated Payment Attempt,Resolved After Retry
45,531,42881,2025-05-07 00:34:00,Repeated Payment Attempt,Resolved After Retry
46,548,5674,2025-08-17 02:58:00,Payment Decline,Resolved
47,551,5801,2025-01-07 01:11:00,Payment Decline,Resolved
48,560,10911,2026-02-08 13:30:00,Verification Required,Resolved
49,563,25148,2026-10-27 07:30:00,Repeated Payment Attempt,Resolved
50,603,23680,2025-11-02 16:49:00,Payment Decline,Resolved
51,616,40358,2026-10-17 15:12:00,Verification Required,Resolved
52,619,37519,2025-03-31 06:22:00,Payment Decline,Resolved
53,626,39210,2025-02-23 11:59:00,Payment Decline,Resolved
54,656,13871,2026-07-03 02:12:00,Repeated Payment Attempt,Resolved
55,665,36698,2026-08-28 10:46:00,Payment Decline,Resolved
56,681,8962,2026-12-31 05:06:00,Repeated Payment Attempt,Resolved
57,685,2222,2026-05-16 06:23:00,Account Review,Resolved
58,716,22154,2025-08-31 13:24:00,Verification Required,Resolved
59,719,23310,2025-09-30 23:53:00,Payment Decline,Resolved
60,721,12788,2025-07-13 23:58:00,Account Review,Resolved
61,729,16369,2025-11-26 10:11:00,Payment Decline,Unresolved
62,730,4104,2025-03-01 19:18:00,Payment Decline,Unresolved
63,740,12484,2026-12-06 09:34:00,Account Review,Resolved After Retry
64,759,38820,2026-12-20 14:25:00,Payment Decline,Resolved
65,760,25026,2026-10-26 20:44:00,Repeated Payment Attempt,Resolved
66,767,40464,2025-04-10 17:00:00,Payment Decline,Resolved
67,780,17226,2026-01-14 00:10:00,Payment Decline,Resolved
68,804,12431,2026-02-08 16:24:00,Payment Decline,Resolved
69,815,11041,2026-05-20 12:47:00,Payment Decline,Resolved
70,825,24761,2025-01-11 00:49:00,Account Review,Resolved
71,852,7016,2026-04-09 07:00:00,Verification Required,Resolved
72,855,34655,2025-08-28 00:41:00,Verification Required,Resolved
73,858,21016,2026-06-03 14:41:00,Repeated Payment Attempt,Resolved
74,866,3252,2025-07-24 11:42:00,Repeated Payment Attempt,Resolved
75,875,11082,2025-01-12 21:11:00,Account Review,Resolved After Retry
76,923,37485,2025-05-20 09:08:00,Payment Decline,Resolved
77,963,30984,2026-09-03 22:01:00,Payment Decline,Resolved
78,1002,35904,2025-12-08 02:09:00,Payment Decline,Resolved
79,1012,44771,2026-03-27 23:35:00,Repeated Payment Attempt,Resolved
80,1018,45037,2025-05-15 10:06:00,Payment Decline,Resolved
81,1020,12497,2025-08-29 07:32:00,Payment Decline,Resolved
82,1033,10321,2026-06-02 09:54:00,Payment Decline,Resolved
83,1055,44312,2026-07-17 02:16:00,Verification Required,Resolved
84,1066,29694,2025-01-27 11:32:00,Account Review,Resolved
85,1090,31976,2025-12-25 05:11:00,Verification Required,Resolved
86,1102,4204,2026-02-11 14:34:00,Verification Required,Resolved
