customer_id,signup_date,customer_segment,country
1,2024-03-06,High_Value,Singapore
2,2025-07-18,High_Value,India
3,2025-04-22,Loyal,Germany
4,2024-11-16,Regular,Germany
5,2024-11-12,Regular,Germany
6,2025-09-18,Regular,India
7,2024-03-03,New,UK
8,2025-05-24,Loyal,India
9,2024-05-27,Regular,USA
10,2024-03-09,Regular,India
11,2025-01-19,Regular,Singapore
12,2025-12-13,New,India
13,2025-06-21,Loyal,Germany
14,2025-07-09,New,India
15,2025-06-07,New,Australia
16,2025-07-27,Regular,Australia
17,2025-01-09,Loyal,India
18,2024-04-03,New,USA
19,2025-09-05,Regular,India
20,2024-11-24,Loyal,India
21,2024-12-31,Loyal,USA
22,2024-09-27,Regular,Canada
23,2024-05-13,Loyal,UK
24,2025-11-07,Regular,Australia
25,2025-07-24,Loyal,UK
26,2025-04-15,Regular,USA
27,2024-10-20,Loyal,Singapore
28,2025-08-23,Loyal,Singapore
29,2025-02-02,Regular,USA
30,2024-11-19,New,Singapore
31,2024-11-24,Loyal,Singapore
32,2024-06-14,New,Canada
33,2024-03-08,Regular,Australia
34,2025-02-08,Regular,India
35,2025-10-10,New,India
36,2024-02-16,Regular,India
37,2025-09-18,Regular,India
38,2025-08-27,Loyal,Canada
39,2024-07-21,Regular,India
40,2025-04-06,New,India
41,2024-04-30,New,USA
42,2025-07-07,Regular,India
43,2025-05-26,Regular,Germany
44,2024-09-15,Regular,Australia
45,2024-02-19,New,India
46,2025-12-09,High_Value,USA
47,2024-11-21,New,USA
48,2025-10-13,Regular,UK
49,2025-05-09,Loyal,India
50,2025-07-22,Regular,India
51,2025-07-08,Regular,India
52,2024-05-22,High_Value,Canada
53,2024-09-22,Regular,USA
54,2024-12-06,New,USA
55,2024-12-29,New,USA
56,2024-02-01,Loyal,UK
57,2025-02-02,Regular,UK
58,2024-04-22,Loyal,India
59,2025-06-26,New,UK
60,2025-05-13,New,India
61,2025-11-04,Loyal,India
62,2025-06-27,High_Value,Australia
63,2024-09-24,New,Canada
64,2025-12-07,New,Canada
65,2024-10-26,Loyal,India
66,2024-08-25,Regular,Canada
67,2025-10-23,Regular,India
68,2024-09-27,Regular,India
69,2024-02-25,Loyal,India
70,2024-12-08,New,Canada
71,2025-08-03,Regular,India
72,2024-05-18,Regular,India
73,2024-12-03,New,India
74,2024-04-04,Regular,USA
75,2025-05-16,Regular,India
76,2024-12-13,Regular,UK
77,2024-08-29,Regular,India
78,2024-06-14,New,UK
79,2025-02-16,Loyal,India
80,2025-05-03,Regular,India
81,2025-11-17,Regular,India
82,2024-11-15,New,India
83,2024-04-27,Regular,Germany
84,2025-08-30,Loyal,India
85,2025-04-04,Regular,Australia
86,2025-05-26,Loyal,India
87,2024-03-11,New,India
88,2024-08-16,High_Value,India
89,2025-07-14,Regular,India
90,2025-08-30,Regular,Germany
91,2024-11-13,Regular,USA
92,2025-08-10,New,UK
93,2025-09-06,Regular,USA
94,2024-10-09,Regular,India
95,2025-10-17,Loyal,UK
96,2024-07-29,Loyal,USA
97,2024-06-23,Regular,India
98,2025-05-13,Regular,USA
99,2025-04-09,Regular,UK
100,2024-04-12,Loyal,India
101,2025-08-30,Regular,India
102,2024-05-25,Regular,Canada
103,2025-08-10,New,India
104,2024-01-06,Regular,India
105,2025-08-04,Regular,Canada
106,2025-07-28,Regular,Singapore
107,2025-07-23,Loyal,India
108,2025-04-30,High_Value,India
109,2024-12-10,Regular,India
110,2025-05-29,Regular,USA
111,2024-07-21,Loyal,India
112,2025-07-23,Regular,Australia
113,2025-02-09,Regular,Germany
114,2024-12-01,Regular,India
115,2025-01-04,Regular,Germany
116,2025-02-19,Regular,India
117,2024-01-28,Regular,India
118,2024-04-12,Regular,Germany
119,2024-06-28,Regular,India
120,2024-03-24,Regular,India
121,2024-11-16,New,India
122,2025-05-02,Loyal,India
123,2025-04-22,Loyal,Germany
124,2024-12-09,Loyal,India
125,2025-09-16,Loyal,India
126,2025-02-16,New,Singapore
127,2024-02-27,New,USA
128,2025-07-12,Regular,Germany
129,2025-02-23,Regular,USA
130,2025-04-08,Loyal,USA
131,2025-02-16,Regular,Singapore
132,2025-02-08,Loyal,Singapore
133,2024-03-07,Regular,India
134,2025-02-12,Regular,UK
135,2025-08-03,Loyal,USA
136,2024-08-09,Regular,India
137,2025-03-16,Loyal,India
138,2024-01-23,Loyal,USA
139,2024-09-10,Loyal,India
140,2024-11-14,Loyal,Germany
141,2025-12-18,Regular,India
142,2024-06-05,Regular,USA
143,2024-07-20,Loyal,Canada
144,2024-10-25,Regular,USA
145,2025-12-25,Regular,India
146,2025-09-14,Regular,UK
147,2024-01-26,Regular,India
148,2024-06-19,Regular,USA
149,2025-08-22,High_Value,Singapore
150,2024-02-12,Regular,Canada
151,2025-09-16,Regular,India
152,2024-07-24,New,Germany
153,2025-10-31,Regular,Germany
154,2024-08-02,Regular,India
155,2024-11-13,Regular,Germany
156,2025-04-28,New,USA
157,2024-04-02,Regular,Germany
158,2025-02-10,New,USA
159,2025-01-03,New,India
160,2025-07-26,Loyal,India
161,2025-12-28,Loyal,USA
162,2025-04-29,Loyal,India
163,2024-10-25,Loyal,Canada
164,2024-10-23,New,India
165,2024-11-01,Loyal,India
166,2025-08-17,Regular,UK
167,2024-08-22,Loyal,USA
168,2024-05-01,Regular,India
169,2024-09-01,Regular,India
170,2024-01-17,Regular,Canada
171,2024-03-18,New,India
172,2024-03-06,Regular,India
173,2025-07-17,Regular,Singapore
174,2025-06-11,High_Value,India
175,2025-05-23,New,Germany
176,2024-12-03,Regular,USA
177,2025-06-07,Regular,Singapore
178,2024-04-27,New,USA
179,2025-10-19,Regular,Canada
180,2024-12-31,Regular,Singapore
181,2025-11-15,Regular,India
182,2024-04-21,Regular,India
183,2024-12-29,New,USA
184,2025-05-23,Regular,Canada
185,2024-12-27,Loyal,USA
186,2024-11-21,Loyal,Australia
187,2024-05-01,Regular,India
188,2024-10-05,Regular,India
189,2024-06-23,Loyal,India
190,2024-08-08,New,India
191,2025-05-14,New,India
192,2025-04-05,New,India
193,2025-03-19,New,India
194,2024-09-21,Loyal,India
195,2025-12-01,Loyal,USA
196,2024-03-04,Regular,UK
197,2024-09-07,Regular,Germany
198,2024-03-27,Loyal,India
199,2024-09-04,Regular,UK
200,2025-12-03,New,USA
201,2024-09-24,New,Germany
202,2025-10-25,Loyal,UK
203,2024-12-27,Loyal,India
204,2025-05-25,Regular,India
205,2024-11-29,Loyal,UK
206,2024-07-13,New,Canada
207,2025-07-11,Regular,India
208,2025-12-08,Loyal,UK
209,2024-07-11,Loyal,India
210,2025-07-22,Regular,Singapore
211,2024-07-09,New,Singapore
212,2025-06-07,High_Value,Germany
213,2025-07-29,Regular,Germany
214,2024-11-24,Regular,Singapore
215,2025-06-21,New,India
216,2024-07-17,New,USA
217,2024-02-27,Regular,India
218,2024-03-11,Regular,USA
219,2024-11-22,Regular,India
220,2025-10-20,New,UK
221,2024-04-03,Regular,India
222,2024-11-28,Regular,Germany
223,2025-05-28,Regular,Germany
224,2024-05-27,Regular,Singapore
225,2025-06-10,Loyal,India
226,2024-08-11,High_Value,Australia
227,2025-08-13,Regular,India
228,2025-02-26,Regular,India
229,2025-02-03,Loyal,Canada
230,2024-05-09,New,India
231,2024-12-04,Loyal,Germany
232,2025-09-17,Regular,Germany
233,2024-01-15,Regular,USA
234,2025-07-07,Regular,USA
235,2024-12-25,Regular,Germany
236,2025-06-09,Loyal,UK
237,2025-04-29,Loyal,India
238,2024-11-11,New,USA
239,2024-08-13,Regular,USA
240,2025-04-02,High_Value,Germany
241,2024-04-12,Loyal,Germany
242,2025-03-02,Regular,USA
243,2024-03-10,Regular,India
244,2025-04-19,Regular,USA
245,2025-04-03,New,USA
246,2024-03-02,Loyal,USA
247,2025-07-06,Loyal,Singapore
248,2024-10-30,Loyal,Singapore
249,2025-07-28,New,USA
250,2024-01-31,High_Value,Germany
251,2024-05-11,High_Value,India
252,2024-12-26,Regular,India
253,2024-05-17,Loyal,UK
254,2024-08-28,Regular,USA
255,2025-04-27,Regular,Canada
256,2024-04-15,New,India
257,2025-05-09,New,USA
258,2024-03-16,New,UK
259,2024-05-07,Regular,USA
260,2025-03-04,Regular,India
261,2025-08-02,New,USA
262,2024-05-04,New,USA
263,2024-08-06,Regular,USA
264,2025-11-06,Loyal,USA
265,2025-12-23,Regular,USA
266,2025-02-28,Loyal,India
267,2024-11-22,High_Value,India
268,2024-09-10,Loyal,India
269,2025-03-23,Loyal,USA
270,2025-03-07,Regular,Germany
271,2024-08-03,High_Value,Canada
272,2024-01-17,Regular,USA
273,2024-04-20,Loyal,UK
274,2025-11-30,Regular,Singapore
275,2024-11-01,New,Singapore
276,2024-12-18,Loyal,Singapore
277,2024-12-06,Loyal,India
278,2025-07-25,Loyal,UK
279,2024-02-17,Loyal,Canada
280,2024-03-01,Loyal,India
281,2024-07-20,Regular,India
282,2024-12-21,Loyal,India
283,2025-05-04,Regular,USA
284,2024-12-24,New,USA
285,2024-11-18,Regular,India
286,2025-11-15,Regular,USA
287,2024-04-27,Regular,India
288,2025-02-21,Loyal,Germany
289,2025-01-30,New,India
290,2024-12-11,Loyal,USA
291,2025-08-12,Regular,India
292,2024-07-13,High_Value,USA
293,2025-11-27,Regular,USA
294,2024-08-30,Regular,Singapore
295,2025-02-01,Loyal,UK
296,2025-01-15,Regular,India
297,2025-09-12,New,Australia
298,2024-11-16,New,USA
299,2024-07-26,New,India
300,2024-01-16,Regular,USA
301,2024-09-22,Regular,India
302,2025-08-26,Regular,USA
303,2024-01-08,Loyal,India
304,2025-10-16,New,India
305,2025-01-31,New,UK
306,2024-04-12,Loyal,India
307,2024-08-08,Loyal,Canada
308,2025-02-08,Loyal,Germany
309,2024-08-18,Loyal,India
310,2024-03-20,High_Value,India
311,2025-05-01,Loyal,India
312,2025-05-05,Regular,USA
313,2024-03-27,Regular,Australia
314,2024-07-24,New,India
315,2024-06-27,Regular,India
316,2025-04-26,Regular,Canada
317,2025-06-17,New,UK
318,2025-06-14,Regular,India
319,2025-11-16,Loyal,India
320,2025-07-15,New,India
321,2024-08-22,Loyal,India
322,2024-03-19,Loyal,USA
323,2025-03-24,Regular,India
324,2025-10-30,New,India
325,2025-12-12,Loyal,Germany
326,2024-06-17,Regular,India
327,2024-06-21,Regular,Australia
328,2024-01-28,Regular,USA
329,2024-04-13,New,USA
330,2025-02-09,Loyal,Singapore
331,2025-02-03,Loyal,USA
332,2024-09-27,Regular,India
333,2024-08-14,High_Value,Australia
334,2025-08-28,Regular,USA
335,2024-12-01,Loyal,Canada
336,2025-08-13,Loyal,India
337,2025-12-04,New,India
338,2024-08-19,Loyal,Germany
339,2024-05-27,Loyal,USA
340,2025-11-26,Regular,USA
341,2025-04-08,Loyal,UK
342,2024-07-31,Regular,USA
343,2025-03-29,New,Canada
344,2025-01-10,Regular,India
345,2025-10-23,Regular,Germany
346,2024-07-05,New,India
347,2025-12-24,New,USA
348,2025-11-14,High_Value,Singapore
349,2024-05-11,Regular,UK
350,2024-04-30,Loyal,USA
351,2025-01-24,Regular,Singapore
352,2024-02-02,New,India
353,2024-08-06,Loyal,USA
354,2024-11-13,Regular,Germany
355,2025-12-08,Regular,UK
356,2025-12-25,High_Value,India
357,2024-04-20,Regular,Singapore
358,2025-10-12,Regular,Canada
359,2024-03-07,Regular,Singapore
360,2025-06-30,New,USA
361,2025-09-09,Loyal,India
362,2025-10-12,Regular,Singapore
363,2024-06-12,New,Australia
364,2025-10-14,Regular,USA
365,2024-03-25,Regular,India
366,2025-01-13,Regular,Germany
367,2024-12-08,Loyal,UK
368,2024-08-18,Loyal,India
369,2024-01-17,Regular,USA
370,2025-07-17,High_Value,Singapore
371,2024-09-01,Loyal,USA
372,2025-04-28,New,UK
373,2024-10-26,New,UK
374,2024-09-29,Regular,USA
375,2025-10-08,New,UK
376,2024-03-09,Regular,India
377,2025-06-21,Regular,India
378,2025-06-29,High_Value,Germany
379,2024-10-04,Regular,India
380,2024-07-10,Regular,USA
381,2024-01-04,High_Value,India
382,2025-11-14,Regular,Germany
383,2025-11-22,New,India
384,2024-06-24,New,USA
385,2024-01-24,Regular,USA
386,2024-03-30,Regular,India
387,2024-02-19,Regular,India
388,2025-08-29,Loyal,Singapore
389,2025-10-13,Regular,India
390,2024-04-21,Loyal,USA
391,2025-06-29,Loyal,India
392,2024-05-10,Regular,UK
393,2024-09-25,New,India
394,2025-03-13,Regular,UK
395,2025-06-09,Regular,USA
396,2025-09-30,Regular,UK
397,2024-02-02,Regular,India
398,2024-05-23,Regular,UK
399,2024-07-23,Regular,India
400,2024-08-14,Regular,Germany
401,2025-12-29,Regular,Australia
402,2025-07-21,Loyal,India
403,2024-08-21,Regular,USA
404,2025-12-10,Loyal,Singapore
405,2024-12-30,Regular,India
406,2024-12-31,Regular,India
407,2024-11-12,Loyal,USA
408,2024-04-15,Loyal,India
409,2025-11-13,Loyal,Canada
410,2024-01-11,Loyal,Germany
411,2024-05-07,Regular,USA
412,2024-06-16,Loyal,Singapore
413,2024-07-22,Loyal,India
414,2024-04-06,Loyal,Germany
415,2024-01-14,Loyal,India
416,2025-05-09,Loyal,Germany
417,2025-12-08,Regular,Germany
418,2024-03-29,Regular,India
419,2024-08-04,Regular,India
420,2025-01-04,Regular,India
421,2025-11-08,Regular,USA
422,2025-05-21,Loyal,Singapore
423,2025-07-13,Regular,UK
424,2025-02-28,Regular,UK
425,2024-10-31,New,UK
426,2024-05-25,Regular,USA
427,2025-09-22,Regular,UK
428,2025-08-10,Regular,India
429,2024-01-19,New,Canada
430,2025-06-06,Regular,UK
431,2024-03-02,Regular,Canada
432,2025-06-23,Regular,India
433,2025-08-25,Regular,USA
434,2024-04-05,Loyal,India
435,2024-11-12,Loyal,India
436,2024-03-31,High_Value,Australia
437,2025-02-18,New,USA
438,2025-11-08,Regular,India
439,2024-02-29,New,Germany
440,2024-10-17,Regular,India
441,2025-12-11,New,USA
442,2024-08-07,Regular,USA
443,2024-04-06,Regular,USA
444,2024-12-22,Regular,India
445,2025-01-06,Regular,India
446,2025-04-28,Regular,India
447,2024-08-17,Loyal,India
448,2025-11-28,Regular,India
449,2025-01-15,Regular,Australia
450,2024-07-28,Regular,India
451,2025-12-02,New,India
452,2025-11-06,New,USA
453,2024-12-30,Regular,India
454,2024-01-19,Regular,USA
455,2025-03-11,New,USA
456,2025-02-09,Regular,Germany
457,2024-04-18,Loyal,India
458,2025-04-07,New,India
459,2025-09-05,Regular,India
460,2024-03-18,High_Value,USA
461,2025-06-12,Regular,India
462,2024-04-12,Loyal,USA
463,2025-06-30,New,Australia
464,2024-11-01,Loyal,USA
465,2024-01-05,New,India
466,2025-12-06,Regular,USA
467,2024-05-01,High_Value,India
468,2025-03-11,Regular,Germany
469,2024-05-12,Regular,India
470,2025-11-12,Loyal,Germany
471,2025-06-22,Loyal,Singapore
472,2025-08-10,Regular,India
473,2024-11-11,New,Germany
474,2024-12-07,Regular,Australia
475,2025-04-08,Loyal,USA
476,2025-07-26,New,Australia
477,2025-09-10,Regular,USA
478,2024-01-14,New,USA
479,2025-04-29,New,USA
480,2024-03-20,Regular,Singapore
481,2024-07-29,Regular,USA
482,2025-08-28,New,India
483,2024-07-01,New,UK
484,2025-08-04,New,Canada
485,2024-12-03,New,Germany
486,2024-06-18,New,India
487,2024-08-31,Loyal,Canada
488,2025-01-22,New,USA
489,2025-07-12,Regular,Canada
490,2025-03-18,Regular,USA
491,2025-11-12,Loyal,India
492,2025-09-25,Regular,India
493,2025-07-03,High_Value,India
494,2025-03-16,Regular,UK
495,2024-07-30,New,India
496,2024-10-28,New,Germany
497,2024-03-27,New,USA
498,2024-09-30,High_Value,India
499,2025-11-07,Regular,Germany
500,2024-11-06,Loyal,India
501,2024-03-24,High_Value,India
502,2025-04-20,Loyal,India
503,2025-12-03,Regular,USA
504,2025-09-25,Loyal,India
505,2024-07-19,Regular,Australia
506,2024-11-27,New,USA
507,2025-01-22,Regular,India
508,2024-06-29,Loyal,USA
509,2024-07-15,Loyal,Singapore
510,2024-06-21,Regular,Germany
511,2025-12-27,Loyal,India
512,2025-06-28,Regular,Germany
513,2025-09-05,Regular,India
514,2025-08-19,Regular,USA
515,2025-12-01,Regular,USA
516,2024-03-17,Regular,Canada
517,2025-10-05,Loyal,USA
518,2024-02-18,High_Value,UK
519,2024-12-13,Regular,India
520,2025-03-09,New,India
521,2024-09-18,New,Singapore
522,2024-04-16,Loyal,USA
523,2024-05-20,Regular,Canada
524,2025-08-25,Regular,India
525,2024-08-20,New,India
526,2024-08-14,New,India
527,2025-11-05,Loyal,UK
528,2024-04-15,Regular,India
529,2025-10-30,Regular,USA
530,2025-11-03,Regular,India
531,2025-03-12,Regular,India
532,2024-04-30,New,UK
533,2024-04-23,New,USA
534,2024-07-26,Loyal,Germany
535,2025-02-25,Regular,Canada
536,2024-04-22,Regular,India
537,2024-11-28,Regular,India
538,2024-03-25,Regular,UK
539,2025-01-29,Regular,India
540,2024-01-16,Loyal,India
541,2025-06-01,Regular,USA
542,2024-02-10,Loyal,UK
543,2024-05-22,Regular,India
544,2024-05-07,Regular,Canada
545,2025-08-29,New,India
546,2024-02-08,Regular,Canada
547,2024-11-09,Regular,India
548,2025-03-07,Loyal,UK
549,2025-01-11,New,USA
550,2025-05-11,Regular,India
551,2025-08-09,New,India
552,2024-10-14,Regular,Australia
553,2025-08-27,Regular,Germany
554,2024-08-20,New,India
555,2025-12-19,Regular,UK
556,2025-01-03,Regular,Germany
557,2025-06-21,Loyal,India
558,2025-09-30,Loyal,USA
559,2025-08-01,New,USA
560,2025-09-13,New,India
561,2025-01-26,Regular,India
562,2024-02-01,Regular,Germany
563,2024-12-25,Regular,UK
564,2024-05-12,Regular,UK
565,2025-10-11,Regular,UK
566,2024-06-21,Regular,USA
567,2024-06-15,New,Canada
568,2024-07-01,Regular,Canada
569,2025-04-14,Regular,USA
570,2025-02-20,Regular,India
571,2025-11-23,Loyal,India
572,2024-10-30,Regular,Australia
573,2024-07-25,New,UK
574,2024-02-05,Loyal,USA
575,2024-01-06,Regular,India
576,2024-09-29,Regular,Canada
577,2025-11-06,Loyal,India
578,2025-01-17,Regular,Canada
579,2025-10-14,Loyal,UK
580,2024-03-15,Loyal,Germany
581,2024-03-09,Regular,India
582,2025-08-31,New,UK
583,2024-03-18,Regular,Australia
584,2024-02-07,New,India
585,2024-10-21,Regular,Canada
586,2025-11-06,Loyal,India
587,2025-05-18,New,UK
588,2024-03-13,Loyal,UK
589,2025-09-03,Regular,Germany
590,2025-09-07,New,Singapore
591,2025-08-07,Loyal,Singapore
592,2025-10-20,Regular,UK
593,2024-06-24,Regular,USA
594,2025-12-16,Regular,UK
595,2024-08-22,New,Canada
