device_id,device_type,os
1,Mobile,Windows
2,Mobile,iOS
3,Mobile,macOS
4,Mobile,iOS
5,Desktop,Android
6,Desktop,iOS
7,Mobile,Android
8,Mobile,Windows
9,Mobile,Android
10,Mobile,Windows
11,Desktop,Android
12,Mobile,iOS
13,Mobile,Android
14,Mobile,Android
15,Mobile,Windows
16,Mobile,macOS
17,Mobile,Android
18,Mobile,iOS
19,Desktop,Windows
20,Mobile,Android
21,Mobile,Windows
22,Desktop,iOS
23,Mobile,Windows
24,Mobile,Android
25,Desktop,macOS
26,Desktop,Windows
27,Desktop,macOS
28,Desktop,iOS
29,Mobile,Android
30,Mobile,Android
31,Mobile,iOS
32,Desktop,Android
33,Mobile,Android
34,Mobile,iOS
35,Mobile,iOS
36,Mobile,Windows
37,Mobile,Windows
38,Desktop,Windows
39,Tablet,Windows
40,Desktop,macOS
41,Desktop,iOS
42,Mobile,Android
43,Desktop,Android
44,Mobile,Android
45,Mobile,macOS
46,Desktop,iOS
47,Desktop,Android
48,Mobile,macOS
49,Mobile,iOS
50,Mobile,Android
51,Desktop,Windows
52,Mobile,macOS
53,Desktop,Android
54,Mobile,Windows
55,Mobile,iOS
56,Mobile,Windows
57,Mobile,Android
58,Desktop,Android
59,Tablet,Android
60,Tablet,Android
61,Mobile,iOS
62,Mobile,Android
63,Desktop,Android
64,Mobile,Windows
65,Mobile,macOS
66,Mobile,Android
67,Mobile,iOS
68,Tablet,Android
69,Mobile,Windows
70,Desktop,iOS
71,Mobile,iOS
72,Desktop,Windows
73,Mobile,Windows
74,Mobile,iOS
75,Tablet,Windows
76,Mobile,macOS
77,Mobile,iOS
78,Mobile,iOS
79,Tablet,Android
80,Desktop,Android
81,Mobile,Windows
82,Desktop,Android
83,Tablet,Windows
84,Mobile,Android
85,Mobile,macOS
86,Mobile,iOS
87,Mobile,iOS
88,Mobile,Android
89,Desktop,Windows
90,Mobile,Windows
91,Desktop,Windows
92,Desktop,iOS
93,Mobile,macOS
94,Mobile,Android
95,Desktop,Android
96,Mobile,Windows
97,Mobile,iOS
98,Mobile,iOS
99,Mobile,Windows
100,Desktop,iOS
101,Mobile,iOS
102,Mobile,Windows
103,Mobile,Android
104,Mobile,Android
105,Tablet,Android
106,Mobile,iOS
107,Mobile,iOS
108,Desktop,Android
109,Mobile,Android
110,Mobile,Android
111,Mobile,iOS
112,Tablet,Android
113,Mobile,iOS
114,Mobile,Android
115,Tablet,iOS
116,Mobile,Windows
117,Desktop,macOS
118,Mobile,macOS
119,Mobile,Android
120,Mobile,macOS
121,Mobile,iOS
122,Desktop,Windows
123,Mobile,iOS
124,Mobile,Windows
125,Mobile,macOS
126,Desktop,Windows
127,Tablet,Android
128,Mobile,Android
129,Desktop,Android
130,Desktop,Windows
131,Desktop,Android
132,Mobile,macOS
133,Desktop,Windows
134,Mobile,Android
135,Tablet,Windows
136,Mobile,iOS
137,Mobile,Android
138,Desktop,macOS
139,Desktop,iOS
140,Mobile,Android
141,Desktop,Windows
142,Desktop,Android
143,Desktop,macOS
144,Mobile,Android
145,Mobile,macOS
146,Mobile,Android
147,Desktop,iOS
148,Tablet,Android
149,Mobile,Android
150,Mobile,macOS
151,Mobile,Android
152,Desktop,Windows
153,Desktop,iOS
154,Mobile,iOS
155,Desktop,Android
156,Desktop,Windows
157,Mobile,Android
158,Mobile,Windows
159,Mobile,Android
160,Desktop,Android
161,Mobile,iOS
162,Desktop,Windows
163,Mobile,Android
164,Desktop,Windows
165,Desktop,Android
166,Desktop,iOS
167,Mobile,Android
168,Desktop,iOS
169,Mobile,Android
170,Mobile,iOS
171,Mobile,Windows
172,Tablet,Windows
173,Desktop,macOS
174,Mobile,iOS
175,Mobile,Windows
176,Mobile,Windows
177,Tablet,Windows
178,Tablet,Windows
179,Mobile,Android
180,Mobile,Android
181,Mobile,Windows
182,Desktop,Android
183,Mobile,Windows
184,Tablet,Android
185,Mobile,Android
186,Mobile,Android
187,Tablet,macOS
188,Tablet,iOS
189,Desktop,Android
190,Mobile,Windows
191,Tablet,Windows
192,Mobile,Windows
193,Mobile,Android
194,Mobile,Windows
195,Desktop,macOS
196,Desktop,Windows
197,Mobile,Android
198,Mobile,Android
199,Desktop,macOS
200,Mobile,iOS
201,Tablet,macOS
202,Tablet,iOS
203,Mobile,Windows
204,Desktop,iOS
205,Mobile,macOS
206,Mobile,Android
207,Mobile,Android
208,Desktop,Android
209,Mobile,iOS
210,Mobile,Android
211,Mobile,Android
212,Desktop,iOS
213,Mobile,Android
214,Mobile,Android
215,Desktop,Android
216,Mobile,iOS
217,Mobile,Android
218,Mobile,Android
219,Mobile,Android
220,Mobile,Android
221,Tablet,iOS
222,Mobile,Windows
223,Desktop,Windows
224,Tablet,Android
225,Mobile,Android
226,Desktop,iOS
227,Desktop,Windows
228,Mobile,Android
229,Desktop,macOS
230,Mobile,Android
231,Mobile,Android
232,Tablet,Android
233,Mobile,Android
234,Desktop,Windows
235,Mobile,Windows
236,Mobile,Android
237,Mobile,Android
238,Desktop,Windows
239,Mobile,macOS
240,Desktop,iOS
241,Mobile,Android
242,Mobile,iOS
243,Desktop,iOS
244,Mobile,Android
245,Desktop,Windows
246,Desktop,Android
247,Mobile,Android
248,Mobile,Android
249,Mobile,Windows
250,Desktop,Android
251,Desktop,Android
252,Mobile,iOS
253,Mobile,Windows
254,Mobile,Android
255,Desktop,Windows
256,Mobile,iOS
257,Mobile,macOS
258,Desktop,Windows
259,Desktop,Windows
260,Mobile,iOS
261,Desktop,iOS
262,Mobile,Windows
263,Mobile,Android
264,Tablet,iOS
265,Mobile,Android
266,Desktop,iOS
267,Mobile,Windows
268,Mobile,iOS
269,Mobile,Android
270,Desktop,iOS
271,Mobile,iOS
272,Mobile,iOS
273,Mobile,Windows
274,Desktop,Windows
