case_id,transaction_id,customer_id,case_open_date,case_severity,investigation_status,resolution_hours
1,20,12310,2026-06-29,Medium,Confirmed Fraud,19.1
2,33,46557,2025-10-09,High,False Positive,6.5
3,115,14001,2025-10-15,High,Under Review,10.2
4,136,34617,2025-02-14,Medium,Confirmed Fraud,15.4
5,137,18461,2025-01-16,High,Closed - No Fraud,15.7
6,172,6844,2026-05-05,Medium,Confirmed Fraud,16.4
7,192,15340,2025-04-26,Critical,Confirmed Fraud,20.4
8,284,41575,2025-12-24,High,Confirmed Fraud,16.7
9,306,30761,2025-01-23,High,Confirmed Fraud,7.8
10,401,22833,2026-08-26,Medium,False Positive,4.4
11,497,26287,2025-12-16,High,Confirmed Fraud,6.7
12,531,42881,2025-05-07,Medium,Confirmed Fraud,3.4
13,596,36956,2025-03-06,High,Confirmed Fraud,25.8
14,657,26218,2025-07-18,High,Under Review,8.5
15,696,19878,2025-07-17,Medium,Confirmed Fraud,9.1
16,759,38820,2026-12-20,High,Confirmed Fraud,8.7
17,764,48496,2026-05-21,Critical,Closed - No Fraud,11.4
18,845,28188,2025-04-20,Low,False Positive,6.8
19,853,20143,2026-11-24,Medium,Confirmed Fraud,12.7
20,873,31522,2025-10-10,Medium,False Positive,5.3
21,954,18264,2025-01-20,High,Closed - No Fraud,6.3
22,989,7663,2026-03-03,Medium,Confirmed Fraud,9.2
23,1141,2247,2026-12-30,Low,Confirmed Fraud,13.5
24,1145,41696,2025-03-10,Medium,Confirmed Fraud,9.9
25,1149,25349,2025-07-21,High,Confirmed Fraud,11.5
26,1177,18126,2026-07-25,Low,Confirmed Fraud,51.0
27,1253,43703,2026-10-31,High,Closed - No Fraud,19.2
28,1286,40737,2025-07-03,High,Confirmed Fraud,11.5
29,1307,48952,2025-10-07,High,Confirmed Fraud,5.8
30,1343,46353,2026-04-27,High,Confirmed Fraud,37.1
31,1433,8967,2026-05-30,Medium,Confirmed Fraud,12.1
32,1518,8853,2025-09-09,Critical,False Positive,29.2
33,1519,20320,2026-01-08,Low,Confirmed Fraud,5.3
34,1571,40964,2025-07-19,High,Confirmed Fraud,10.3
35,1597,27958,2025-04-13,High,Closed - No Fraud,19.7
36,1604,937,2026-01-25,Medium,Confirmed Fraud,35.4
37,1665,13630,2026-12-09,Medium,Confirmed Fraud,11.0
38,1681,9458,2026-01-26,High,Confirmed Fraud,24.2
39,1682,18185,2025-05-04,High,Confirmed Fraud,6.5
40,1756,49347,2025-12-28,Medium,Confirmed Fraud,52.9
41,1758,18335,2026-04-30,Medium,Confirmed Fraud,8.8
42,1780,23224,2025-02-04,Medium,False Positive,14.0
43,1798,13570,2026-10-09,High,Under Review,33.8
44,1926,3565,2026-04-10,Critical,Confirmed Fraud,14.7
45,1935,19858,2025-02-15,High,Under Review,13.2
46,2152,33520,2026-08-10,Medium,Closed - No Fraud,22.2
47,2217,31136,2026-07-16,Medium,Confirmed Fraud,21.8
48,2279,21375,2026-04-12,Low,Closed - No Fraud,14.3
49,2315,14796,2025-05-23,Medium,Confirmed Fraud,4.0
50,2402,2919,2025-02-11,Medium,Confirmed Fraud,18.3
51,2452,46054,2026-09-23,Medium,False Positive,21.4
52,2471,39523,2025-10-18,Low,Under Review,62.0
53,2599,15204,2025-10-26,High,Confirmed Fraud,13.2
54,2700,2781,2025-01-26,High,Confirmed Fraud,10.7
55,2704,6438,2026-07-17,Medium,False Positive,30.1
56,2823,43899,2025-10-10,Medium,False Positive,8.5
57,2834,26728,2025-01-15,High,Closed - No Fraud,17.1
58,2857,44028,2026-10-22,Critical,Confirmed Fraud,8.5
59,2956,9846,2026-04-10,Medium,Confirmed Fraud,7.5
60,2976,28870,2026-04-10,Low,Confirmed Fraud,36.6
61,3028,14829,2026-03-04,High,False Positive,14.5
62,3059,49544,2026-01-24,High,Confirmed Fraud,40.6
63,3090,24271,2025-06-25,Medium,Confirmed Fraud,4.2
64,3095,44592,2025-02-04,High,Confirmed Fraud,18.7
65,3182,45963,2026-06-27,High,Confirmed Fraud,15.5
66,3187,45496,2026-09-23,Medium,Confirmed Fraud,21.7
67,3202,27534,2025-02-11,High,Confirmed Fraud,17.4
68,3208,14007,2025-03-23,High,Closed - No Fraud,5.3
69,3305,33472,2026-09-09,Medium,Closed - No Fraud,8.3
70,3383,6750,2025-10-20,Medium,Under Review,3.5
71,3399,43394,2025-08-17,Critical,False Positive,9.4
72,3402,19248,2026-02-24,Critical,False Positive,19.1
73,3408,20290,2026-11-08,Medium,Confirmed Fraud,9.1
74,3443,7994,2026-10-17,Critical,Confirmed Fraud,3.7
75,3528,13948,2025-02-23,Medium,Confirmed Fraud,7.7
76,3543,38957,2026-05-22,Medium,Confirmed Fraud,18.7
77,3573,13079,2025-10-13,High,Confirmed Fraud,21.2
78,3576,2817,2026-02-24,Medium,Confirmed Fraud,9.3
79,3769,44842,2025-12-18,Critical,Confirmed Fraud,17.4
80,3885,12528,2026-04-22,High,Closed - No Fraud,11.6
81,3909,34256,2025-01-06,High,Confirmed Fraud,9.7
82,3925,46173,2025-02-21,Medium,Confirmed Fraud,3.4
83,3993,41349,2025-04-17,Critical,Under Review,6.1
84,4238,15885,2026-01-08,Medium,False Positive,41.4
85,4246,16805,2026-05-16,Low,Confirmed Fraud,5.1
86,4248,34915,2026-03-25,High,Confirmed Fraud,13.3
87,4264,3842,2026-10-29,High,Confirmed Fraud,1.4
88,4291,837,2025-07-24,Medium,Under Review,23.7
89,4328,46436,2025-08-30,High,Confirmed Fraud,4.8
90,4369,33689,2025-01-07,Medium,Confirmed Fraud,1.3
91,4393,20637,2026-01-13,Medium,Under Review,5.0
92,4438,37808,2025-10-01,High,Confirmed Fraud,8.5
93,4439,26483,2026-01-27,Low,Confirmed Fraud,2.7
94,4498,23150,2026-12-05,High,Confirmed Fraud,84.6
95,4541,40993,2025-09-14,Medium,Confirmed Fraud,11.4
96,4597,24693,2025-08-27,Medium,Under Review,14.9
97,4631,22222,2026-09-12,Low,Closed - No Fraud,14.3
98,4715,41603,2026-05-06,Medium,Confirmed Fraud,4.5
99,4772,16701,2025-05-22,High,Confirmed Fraud,24.5
100,4842,49916,2025-11-01,High,Confirmed Fraud,3.3
101,4848,29233,2026-04-02,Low,False Positive,24.3
102,4893,25119,2026-10-18,Medium,Confirmed Fraud,21.1
103,4906,37116,2026-07-14,Medium,Confirmed Fraud,18.0
104,4998,41619,2025-07-09,Low,Under Review,36.0
105,5004,30830,2025-12-10,High,Confirmed Fraud,20.8
106,5048,27518,2025-10-29,Low,Closed - No Fraud,7.3
107,5066,11992,2025-05-25,Medium,Confirmed Fraud,21.8
108,5070,35706,2025-09-07,High,Confirmed Fraud,23.1
109,5169,26598,2025-01-22,Medium,Confirmed Fraud,14.7
110,5208,27303,2025-03-31,High,Confirmed Fraud,16.2
111,5247,47106,2026-09-08,Medium,Confirmed Fraud,2.2
112,5278,36685,2025-03-03,Medium,Confirmed Fraud,5.0
113,5294,13095,2025-02-23,Low,Confirmed Fraud,64.7
114,5401,25258,2026-01-14,High,Confirmed Fraud,22.3
115,5414,34610,2025-03-13,Medium,False Positive,3.4
116,5492,5617,2026-07-18,High,Confirmed Fraud,12.6
117,5498,46936,2026-04-24,Medium,Confirmed Fraud,11.4
118,5631,10936,2025-06-29,Medium,Under Review,4.2
119,5640,37085,2025-12-11,High,Confirmed Fraud,17.7
120,5696,10674,2026-03-10,Critical,Confirmed Fraud,5.9
121,5776,29710,2025-05-03,Medium,Confirmed Fraud,17.3
122,5809,47831,2025-03-23,Medium,False Positive,14.8
123,5910,48285,2025-03-26,High,Confirmed Fraud,10.5
124,5993,20913,2025-12-25,High,Closed - No Fraud,19.0
125,6010,24625,2025-10-30,Medium,Confirmed Fraud,17.3
126,6078,36233,2026-10-19,Low,Confirmed Fraud,32.0
127,6140,12157,2025-01-18,Critical,False Positive,13.1
128,6145,22495,2025-06-06,High,Confirmed Fraud,50.0
129,6167,15663,2026-03-09,Medium,Confirmed Fraud,14.2
130,6231,2520,2026-11-22,Low,Confirmed Fraud,12.9
131,6300,18057,2025-11-16,High,Confirmed Fraud,26.4
132,6344,42258,2026-04-24,High,Confirmed Fraud,31.6
133,6451,4365,2025-03-03,Critical,Closed - No Fraud,24.7
134,6467,41139,2025-12-18,High,Under Review,1.5
135,6504,33321,2026-11-04,Critical,Confirmed Fraud,9.1
136,6566,28491,2026-03-28,High,Confirmed Fraud,15.9
137,6570,3383,2026-03-13,Medium,Confirmed Fraud,4.7
138,6578,44618,2025-08-30,High,Confirmed Fraud,4.1
139,6758,32916,2026-05-13,Low,Confirmed Fraud,16.3
140,6782,7283,2026-03-14,High,Confirmed Fraud,5.5
141,6811,19207,2026-11-11,Medium,Confirmed Fraud,24.7
142,6880,19419,2025-02-17,Low,Confirmed Fraud,18.5
143,6905,22854,2026-06-13,High,False Positive,10.2
144,6941,8213,2025-09-05,Medium,Closed - No Fraud,15.6
145,6952,5002,2026-01-21,High,Under Review,5.2
146,6957,7502,2025-07-27,Medium,Closed - No Fraud,16.1
147,7037,39240,2026-09-22,High,Under Review,7.6
148,7188,46019,2026-02-03,Critical,Confirmed Fraud,13.8
149,7192,7527,2025-11-22,Low,Confirmed Fraud,5.7
150,7251,29583,2025-11-08,Medium,Confirmed Fraud,12.5
151,7287,40966,2025-10-09,Medium,Confirmed Fraud,7.5
152,7476,35889,2026-10-24,High,Confirmed Fraud,19.2
153,7577,25936,2025-11-06,High,Confirmed Fraud,14.5
