transaction_id,high_value_flag,new_account_flag,high_velocity_flag,multiple_payment_failures_flag,previous_chargeback_flag,device_account_count,unusual_location_flag,risk_score,risk_level
1,0,1,0,0,0,4,0,29.7,Medium
2,0,1,0,0,0,2,0,23.5,Low
3,0,0,0,0,0,4,0,5.5,Low
4,0,0,0,0,0,3,0,1.1,Low
5,0,1,0,0,0,1,0,22.2,Low
6,0,0,0,0,0,4,0,0.0,Low
7,0,0,0,0,0,5,1,9.7,Low
8,0,0,0,0,0,2,0,0.1,Low
9,0,0,1,0,0,5,0,6.0,Low
10,0,0,0,0,0,5,0,0.0,Low
11,0,0,0,0,0,3,0,0.0,Low
12,0,0,0,0,0,3,0,0.9,Low
13,0,0,0,0,0,2,0,7.2,Low
14,0,0,0,0,0,5,0,4.7,Low
15,0,0,0,0,0,1,0,0.0,Low
16,0,0,0,0,0,2,0,0.0,Low
17,0,0,0,0,0,2,0,0.0,Low
18,0,0,0,0,0,4,0,5.7,Low
19,0,0,0,0,0,5,0,1.9,Low
20,0,0,0,0,0,3,0,0.0,Low
21,0,0,0,0,0,5,0,4.1,Low
22,0,1,0,1,0,2,0,44.2,Medium
23,0,0,0,0,0,3,0,0.8,Low
24,0,0,0,0,0,4,0,0.0,Low
25,0,0,0,0,0,4,0,1.3,Low
26,0,0,0,0,0,4,0,6.5,Low
27,0,0,0,0,0,4,0,1.2,Low
28,0,0,0,0,0,4,0,2.3,Low
29,0,0,0,0,0,2,0,4.3,Low
30,0,0,0,0,0,5,0,0.0,Low
31,0,0,1,0,0,1,0,17.0,Low
32,0,0,0,0,0,4,0,2.1,Low
33,0,0,0,0,0,2,0,0.0,Low
34,0,0,0,0,0,5,0,1.4,Low
35,0,0,0,0,0,1,0,0.0,Low
36,0,0,0,0,0,5,0,0.0,Low
37,0,0,0,0,0,5,0,0.0,Low
38,0,0,0,0,0,5,0,1.8,Low
39,0,1,0,0,0,3,0,25.5,Medium
40,0,1,0,1,1,5,0,50.0,Medium
41,0,0,0,0,0,3,0,3.3,Low
42,0,0,0,0,0,2,0,4.7,Low
43,0,0,0,0,0,3,0,8.1,Low
44,0,0,0,0,0,4,0,2.5,Low
45,0,1,0,1,0,4,0,44.0,Medium
46,0,0,0,0,0,2,0,5.5,Low
47,0,1,0,0,0,2,0,24.3,Low
48,0,0,0,0,1,4,0,22.8,Low
49,0,0,0,0,0,1,0,0.0,Low
50,0,0,0,0,0,1,0,0.0,Low
51,0,0,0,0,0,5,0,4.8,Low
52,0,1,0,0,0,3,0,32.5,Medium
53,0,0,0,0,0,3,0,3.3,Low
54,0,0,0,0,1,1,0,8.0,Low
55,0,0,0,0,0,4,0,0.0,Low
56,0,0,0,0,0,3,0,3.6,Low
57,0,0,0,0,0,1,0,10.1,Low
58,0,0,0,0,0,5,0,0.0,Low
59,0,0,0,0,0,1,0,3.1,Low
60,0,1,1,0,0,2,0,38.0,Medium
61,0,0,0,0,0,3,0,2.8,Low
62,0,0,0,0,0,2,0,0.0,Low
63,0,0,0,0,0,5,0,7.6,Low
64,0,0,0,0,0,5,0,0.0,Low
65,0,0,0,0,0,4,0,6.1,Low
66,0,0,0,0,0,4,0,0.0,Low
67,0,0,0,0,0,3,0,0.0,Low
68,0,0,0,1,1,5,0,26.7,Medium
69,0,0,0,0,0,1,0,0.0,Low
70,0,0,0,0,0,3,0,2.2,Low
71,0,0,1,0,0,2,0,14.9,Low
72,0,1,0,0,0,3,0,21.4,Low
73,0,0,0,0,0,2,0,2.7,Low
74,0,0,0,0,0,4,0,8.8,Low
75,0,0,0,0,0,4,0,0.0,Low
76,0,0,0,0,0,5,0,0.0,Low
77,0,0,0,0,0,3,0,3.0,Low
